ean,sku,title,status
4210201447238,HHWB1128,"Braun 10-in-1 Styling-Set 7 MGK7410 Bart, Körper, Haar. Mit Metallklinge, 100",updated
4211129226776,HHWW032,"WMF KITCHENminis 0416500071 0,6 l Sport-Mixer 300 W Schwarz",updated
4250563426243,REFR2001,DOCKLenovo USB-C Kabel 90W NEU,unchanged
4260771516339,REFT0014,PC HP EliteDesk 800 G4 MP i5-8500T/16GB/512GBSSD/Wlan/Bluetooth W11P,unchanged
4262431592554,REFT0004,"N15 tecXL HP EliteBook 850 G7 (15,6"")",unchanged
4262431594756,REFT0007,PC HP EliteDesk 800 G6 MP i5-10500T/16GB/512GBSSD/Wlan+BT W11P,unchanged
4262504949742,REFT0018,"TFT tecXL Lenovo ThinkVision T24i - LED-Monitor - (24"")",unchanged
4262575240144,REFT0017,"TFT tecXL Asus BE24WQLB - LED-Monitor - (24.1"")",unchanged
4582761160187,USBK0042,Card Kioxia SD Exceria Plus 128GB,unchanged
4711387095119,MBAI0031,ASUS TUF RAM Arbeitsspeicher 128GB DDR5 NEU,updated
4711387730775,MBAI0044,ASUS X870E-CREATOR RAM Arbeitsspeicher 192GB DDR5 NEU,updated
4711387797143,MBAI0047,ASUS PRIME B840M-A RAM Arbeitsspeicher 192GB DDR5 NEU,updated
4711387797273,MBAI0046,ASUS PRIME B840-PLUS RAM Arbeitsspeicher 192GB DDR5 NEU,updated
4711387931509,MBAI0048,ASUS PRIME B850-PLUS RAM Arbeitsspeicher 256GB DDR5 NEU,updated
4711387949832,NUCA0015,ASUS NUC 15 RAM Arbeitsspeicher DDR5 Wi-Fi 7 120W NEU,updated
4713294232120,RAM5G0019,G.Skill RAM Arbeitsspeicher 32GB 3000MHz DDR5 2x Kit NEU,unchanged
4713294236807,RAM5G0026,G.Skill Z5 RAM Arbeitsspeicher 32GB 8000MHz DDR5 2x Kit NEU,not_live
4719692007681,RAM4G0056,G.Skill Ripjaws RAM Arbeitsspeicher 32GB 2400MHz DDR4 2x Kit NEU,unchanged
4779027312385,NETT1022,Teletonika TRB142 - Gateway,unchanged
