ItemNo;Description;Module;ItemMainGroup;ItemSubGroup;Stock;Price_B2B;ManufacturerCode;ManufacturerName;ReferenceNumber;GTIN;GrossWeight
HHWM0023;Makita DHR241Z - Bohrhammer - 3 Modi - 18V;BABHOME;DV;;25;107,08;MAKITA;Makita;DHR241Z;0088381661768;3,42
HHWM0024;Makita BL1860B - LXT Batterie, 18V, Li-Ion, 6 Ah ;BABHOME;DV;;35;65,98;MAKITA;Makita;197422-4;0088381464123;0,708
HHWM0027;Makita P-81050 - Bit-Box mit Bits in den Längen 25 mm und 75 mm - 99-teilig;BABHOME;DV;;96;21,01;MAKITA;Makita;P-81050;0088381443395;0,9
HHWM0028;Makita E-25096 - Bit-Set mit Ratschenschraubendreher - 44-teilig ;BABHOME;DV;;50;20,81;MAKITA;Makita;E-25096;0197050364623;0,765
HHWM0029;Makita DHP489Z - Schlagbohrschrauber - 18V;BABHOME;DV;;47;117,74;MAKITA;Makita;DHP489Z;0088381775601;1,94167
HHWM0030;Makita MAKPAC 2 - Box für Elektrowerkzeuge;BABHOME;DV;;90;18,78;MAKITA;Makita;821550-0;0088381430128;1,559
HHWM0031;Makita DJV186Z - Stichsäge - 18V;BABHOME;DV;;27;66,48;MAKITA;Makita;DJV186Z;0197050011855;1,882
HHWM0034;Makita DDF487Z - Bohrschrauber, 18V;BABHOME;DV;;49;79,17;MAKITA;Makita;DDF487Z;0088381736558;1,272
HHWM0038;Makita DTW700Z - Schlagschrauber, 18 V;BABHOME;DV;;34;177,63;MAKITA;Makita;DTW700Z;0088381723831;2,42
HHWM4005;Melitta TS Smart - Silber;BABHOME;HW;;3;669,90;MELITTA;Melitta;F 85/0-101;4006508217847;13,42
HHWM4006;Melitta TS Smart - Schwarz;BABHOME;HW;;11;654,68;MELITTA;Melitta;F 85/0-102;4006508217830;13,48
HHWM4007;Melitta CI Touch - Silber;BABHOME;HW;;3;487,20;MELITTA;Melitta;F 630-111;4006508228034;11,4
HHWM4008;Melitta Latticia OT - Schwarz;BABHOME;HW;;7;355,25;MELITTA;Melitta;F300-100;4006508223923;9,25
HHWM4013;Melitta AromaFresh Glas Pro X - Grau;BABHOME;HW;;4;162,40;MELITTA;Melitta;1030-03;4006508230136;5,22
HHWM4014;Melitta AromaFresh Glas Pro X - Schwarz/Silber;BABHOME;HW;;1;147,18;MELITTA;Melitta;1030-02;4006508225507;5,2
HHWM5000;MOVA Z60 Ultra Roller Complete;BABHOME;HW;;30;629,30;MOVA;MOVA;RLZ83CE-1;6977728947303;24,12
HHWO0004;OutIn Mino - Space Grey - Portable Electric Espresso Machine;BABHOME;HW;;21;131,95;OUTIN;OutIn;OTEM-MO-01-AA-SG;1230000232463;1,2
HHWP0101;Philips 7000 series DST7050/70 - Dampfbügeleisen - Grün;BABHOME;HW;;6;75,01;PHILIPS;Philips;DST7050/70;8720389015809;1,874
HHWR0018;Remington Haarschneider HC5020;BABHOME;HW;;14;10,15;REMINGTON;Remington;HC5020;5038061139082;0,56666
HHWR3019;ROWENTA Dual Force RH6737WH (2-in-1) - Vaccum cleaner;BABHOME;HW;;1;96,43;ROWENTA;Rowenta;RH6737;3221616007222;4,318
HHWR8000;Ryobi RAK30MIX - Schraubendreher- und Bohrer-Bitsatz;BABHOME;DV;;130;11,17;RYOBI;Ryobi ;5132002254;4892210113375;0,775
HHWT1001;Terra Home Magnetischer Topfuntersetzer Eiche, 2er Set;BABHOME;HW;;491;1,02;TERRA HOME;Terra Home;44111;4262363856472;0,27
HHWW029;WMF Perfect Plus One Pot Schnellkochtopf-Set 4,5L+3L;BABHOME;HW;;2;154,28;WMF;WMF;0794459990;4000530725172;5,66
HHWW032;WMF KÜCHENminis Smoothie-to-go, Deep Black;BABHOME;HW;;5;38,57;WMF;WMF;3200002261;4211129226776;1,838
HHWX0136;Roborock Saros 10R Black;BABHOME;HW;;10;740,95;ROBOROCK;Roborock;S10R52-00;6970995783445;21,76
HHWX0140;Dreame X40 Master Robotersauger Schwarz;BABHOME;HW;;8;395,85;DREAME;Dreame;X40 MASTER;6976233677163;26,08
HHWX0145;Dreame H15 Mix Handstaubsauger;BABHOME;HW;;33;441,53;DREAME;Dreame;HHV46B;6978515250514;22,5
HHWX0148;Roborock Saros 20X Black;BABHOME;HW;;18;1004,85;ROBOROCK;Roborock;S20X52-00;6936905905512;21,85
